Date,Weekday,Pid,Name,Begin Time,End Time,Last Time
2017-05-31,Wed,10592,SearchFilterHost.exe,20:43:11,20:43:41,0:0:30
2017-05-31,Wed,6952,dllhost.exe,20:43:11,20:43:41,0:0:30
2017-05-31,Wed,4024,TabTip.exe,20:43:11,20:43:41,0:0:30
2017-05-31,Wed,7468,dllhost.exe,20:43:11,20:43:41,0:0:30
2017-05-31,Wed,9616,LocationNotificationWindows.exe,20:43:11,20:43:41,0:0:30
2017-05-31,Wed,10168,notepad.exe,20:44:41,20:45:11,0:0:30
2017-05-31,Wed,344,cmd.exe,20:43:11,20:45:11,0:2:0
2017-05-31,Wed,10884,LocationNotificationWindows.exe,20:44:41,20:45:11,0:0:30
2017-05-31,Wed,7124,conhost.exe,20:43:11,20:45:11,0:2:0
2017-05-31,Wed,0,System Idle Process,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,4,System,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,200,SearchFilterHost.exe,20:44:41,20:45:18,0:0:37
2017-05-31,Wed,400,smss.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,476,dwm.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,568,svchost.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,592,csrss.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,680,wininit.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,692,csrss.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,764,winlogon.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,816,services.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,832,lsass.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,880,svchost.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,920,svchost.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,992,svchost.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,1012,svchost.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,1036,svchost.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,1112,svchost.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,1160,AsusTPLoader.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,1196,explorer.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,1260,WUDFHost.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,1332,svchost.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,1340,svchost.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,1632,igfxCUIService.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,1784,svchost.exe,20:43:11,20:45:18,0:2:7
2017-05-31,Wed,1924,svchost.exe,20:43:11,20:45:18,0:2:7
